cohort_month,cohort_customers,m0,m1,m3,m6,m12,retention_m1_pct,retention_m6_pct,retention_m12_pct
2015-07-01,40,13,25,27,30,31,62.5,75.0,77.5
2015-08-01,38,19,28,19,26,20,73.7,68.4,52.6
2015-09-01,33,12,23,22,28,24,69.7,84.8,72.7
2015-10-01,42,22,28,33,27,28,66.7,64.3,66.7
2015-11-01,42,19,36,33,28,33,85.7,66.7,78.6
2015-12-01,42,16,29,30,33,30,69.0,78.6,71.4
2016-01-01,47,26,32,34,34,34,68.1,72.3,72.3
2016-02-01,44,20,29,33,29,27,65.9,65.9,61.4
2016-03-01,43,23,29,30,30,30,67.4,69.8,69.8
2016-04-01,34,10,22,25,27,21,64.7,79.4,61.8
2016-05-01,43,20,24,32,29,29,55.8,67.4,67.4
2016-06-01,40,19,24,28,28,27,60.0,70.0,67.5
2016-07-01,77,36,58,58,60,57,75.3,77.9,74.0
2016-08-01,88,45,62,59,67,61,70.5,76.1,69.3
2016-09-01,84,37,63,58,56,58,75.0,66.7,69.0
2016-10-01,84,33,59,54,57,54,70.2,67.9,64.3
2016-11-01,75,30,55,44,55,47,73.3,73.3,62.7
2016-12-01,76,35,50,53,38,46,65.8,50.0,60.5
2017-01-01,75,29,46,48,54,49,61.3,72.0,65.3
2017-02-01,91,40,61,67,55,57,67.0,60.4,62.6
2017-03-01,82,29,57,56,54,62,69.5,65.9,75.6
2017-04-01,95,41,72,64,74,62,75.8,77.9,65.3
2017-05-01,73,35,43,53,51,44,58.9,69.9,60.3
2017-06-01,83,32,56,53,51,50,67.5,61.4,60.2
2017-07-01,84,42,60,55,63,59,71.4,75.0,70.2
2017-08-01,82,39,60,51,59,59,73.2,72.0,72.0
2017-09-01,91,36,69,66,67,55,75.8,73.6,60.4
2017-10-01,82,35,60,54,50,59,73.2,61.0,72.0
2017-11-01,88,39,64,61,69,60,72.7,78.4,68.2
2017-12-01,87,40,65,70,63,67,74.7,72.4,77.0
2018-01-01,81,41,53,61,62,56,65.4,76.5,69.1
2018-02-01,81,37,52,52,51,42,64.2,63.0,51.9
2018-03-01,89,38,62,59,56,59,69.7,62.9,66.3
2018-04-01,79,35,50,60,56,59,63.3,70.9,74.7
2018-05-01,99,34,70,71,73,63,70.7,73.7,63.6
2018-06-01,76,32,50,47,50,55,65.8,65.8,72.4
2018-07-01,100,52,69,69,66,60,69.0,66.0,60.0
2018-08-01,79,37,49,51,47,49,62.0,59.5,62.0
2018-09-01,84,35,53,51,53,52,63.1,63.1,61.9
2018-10-01,90,38,69,55,60,61,76.7,66.7,67.8
