customer_id,geography,balance,total_txn_value,txn_count,exited,value_quartile,value_tier,rank_in_geography
15716431,France,191091.74,2675568.02,170,0,1,Platinum,1
15699461,Spain,176273.95,2545939.03,156,0,1,Platinum,1
15747265,Germany,171283.91,2456852.6,166,0,1,Platinum,1
15690589,France,212314.03,2489637.79,156,0,1,Platinum,2
15795298,Germany,206868.78,2311140.02,135,0,1,Platinum,2
15641004,Spain,150315.92,2124111.17,171,0,1,Platinum,2
15607230,Germany,150186.22,2118113.22,155,0,1,Platinum,3
15664506,Spain,197436.82,2099963.45,124,0,1,Platinum,3
15577700,France,185063.7,1992157.93,153,0,1,Platinum,3
15727819,Spain,171671.9,2070035.2,162,0,1,Platinum,4
15747174,Germany,190298.89,2023707.65,153,0,1,Platinum,4
15722364,France,189026.53,1986034.49,145,0,1,Platinum,4
15741633,Spain,147511.26,2031635.45,162,0,1,Platinum,5
15597983,France,154953.94,1950798.37,166,0,1,Platinum,5
15795246,Germany,155903.82,1916300.04,149,0,1,Platinum,5
15702499,Spain,190678.02,2010640.44,143,0,1,Platinum,6
15758362,France,152243.57,1928879.58,146,0,1,Platinum,6
15708917,Germany,167772.96,1904725.66,174,0,1,Platinum,6
15799211,Spain,187487.63,1984758.12,137,0,1,Platinum,7
15708608,France,174185.98,1915469.8699999999,144,0,1,Platinum,7
15693322,Germany,146748.07,1864401.8,149,0,1,Platinum,7
15614818,Spain,168964.77,1931842.39,159,0,1,Platinum,8
15644501,France,162482.76,1892962.37,149,0,1,Platinum,8
15573893,Germany,173459.45,1858272.82,147,0,1,Platinum,8
15774133,France,178032.53,1879170.19,138,0,1,Platinum,9
15651103,Spain,183744.98,1875107.3900000001,131,0,1,Platinum,9
15723053,Germany,170291.22,1847315.96,128,0,1,Platinum,9
15644132,France,142475.87,1869561.94,163,0,1,Platinum,10
15628697,Spain,160736.63,1855959.7,148,0,1,Platinum,10
15794868,Germany,137456.28,1829702.24,155,0,1,Platinum,10
15743051,France,144684.03,1855259.47,154,0,1,Platinum,11
15764491,Spain,159693.9,1845621.32,154,0,1,Platinum,11
15738501,Germany,163630.76,1825035.46,137,1,1,Platinum,11
15646566,France,187911.55,1841773.37,136,0,1,Platinum,12
15787168,Spain,168253.21,1832452.25,141,0,1,Platinum,12
15701376,Germany,152958.29,1810320.23,163,0,1,Platinum,12
15713346,France,146126.75,1839945.75,158,0,1,Platinum,13
15770516,Spain,193213.02,1831698.82,118,0,1,Platinum,13
15631721,Germany,163965.69,1791774.28,151,0,1,Platinum,13
15770309,France,151762.74,1830946.93,150,0,1,Platinum,14
15759298,Spain,134169.62,1818647.16,155,0,1,Platinum,14
15677610,Germany,153895.65,1785039.56,138,0,1,Platinum,14
15653253,Spain,167997.6,1810157.96,133,0,1,Platinum,15
15704315,France,163757.06,1806177.89,126,0,1,Platinum,15
15638494,Germany,129845.26,1784344.46,165,0,1,Platinum,15
15724150,France,136596.85,1793688.33,164,0,1,Platinum,16
15734058,Germany,170661.47,1778519.19,152,0,1,Platinum,16
15754713,Spain,135213.71,1743752.05,156,0,1,Platinum,16
15596136,France,166939.88,1792773.1300000001,140,0,1,Platinum,17
15812720,Germany,130110.45,1763225.76,143,0,1,Platinum,17
15701318,Spain,148564.66,1633046.74,146,0,1,Platinum,17
15643294,France,190566.65,1790830.19,132,0,1,Platinum,18
15712409,Germany,182532.23,1733197.45,107,0,1,Platinum,18
15625941,Spain,128039.01,1621098.74,170,0,1,Platinum,18
15793688,France,201009.64,1770241.84,97,1,1,Platinum,19
15788723,Germany,143888.22,1732381.72,170,1,1,Platinum,19
15794479,Spain,149083.7,1620997.26,140,0,1,Platinum,19
15625035,France,160139.59,1763817.91,137,0,1,Platinum,20
15754747,Germany,141918.09,1721249.69,163,0,1,Platinum,20
15751710,Spain,164870.81,1618781.02,130,0,1,Platinum,20
15594270,France,198338.77,1759378.56,122,0,1,Platinum,21
15593470,Germany,166287.85,1710620.83,142,0,1,Platinum,21
15777772,Spain,119618.42,1618550.97,153,0,1,Platinum,21
15636700,France,140236.98,1746128.87,163,0,1,Platinum,22
15566633,Germany,155059.1,1708854.68,144,0,1,Platinum,22
15739046,Spain,143054.85,1591864.28,149,0,1,Platinum,22
15696637,France,151097.28,1742509.47,158,0,1,Platinum,23
15666559,Germany,197715.93,1705260.47,124,0,1,Platinum,23
15799720,Spain,161546.68,1576186.54,134,0,1,Platinum,23
15791925,France,147737.63,1739159.74,158,0,1,Platinum,24
15765487,Germany,151766.71,1704245.6,154,0,1,Platinum,24
15746704,Spain,136808.53,1572150.41,159,0,1,Platinum,24
